Metric,Q4,Q6,Q8
Base size (GiB),2.325773924589157,3.0791957080364227,3.9864380061626434
Peak VRAM (MiB),3535,4305,5235
Writer tok/s,62.43220262255405,51.643440772211264,43.38454443693769
Writer latency (s),5.739428599830717,7.170494849793613,8.224982249783352
Reviser trigger rate,0.875,0.8333333333333334,0.7916666666666666
API tokens/sample,4169.25,4098.041666666667,3952.625
Final Release-Adjusted,89.20833333333333,89.20833333333333,91.375
Final Publishable Rate,0.75,0.7083333333333334,0.7916666666666666
Final Unsupported/sample,0.2916666666666667,0.2916666666666667,0.25
Final Major Risks/sample,0.20833333333333334,0.25,0.16666666666666666
